Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Establishment_Age
FDX10,12.999704684317718,Regular,0.123111453,Snack Foods,36.9874,1985,Medium,Tier 3,Supermarket Type3,388.1614,39
FDB34,12.999704684317718,Low Fat,0.026480954,Snack Foods,87.6198,1985,Medium,Tier 3,Supermarket Type3,2180.495,39
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,1997,Small,Tier 1,Supermarket Type1,3435.528,27
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,1987,High,Tier 3,Supermarket Type1,2150.534,37
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,1999,Medium,Tier 1,Supermarket Type1,2527.3768,25
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,2009,Medium,Tier 3,Supermarket Type2,6768.5228,15
FDL50,12.15,Regular,0.042277867,Canned,126.5046,1987,High,Tier 3,Supermarket Type1,373.5138,37
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,1998,Small,Tier 3,Grocery Store,358.2004,26
NCP05,19.6,Low Fat,0.06072282399802762,Health and Hygiene,153.3024,2002,Small,Tier 2,Supermarket Type1,2428.8384,22
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,2002,Small,Tier 2,Supermarket Type1,5815.0972,22
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,1997,Small,Tier 1,Supermarket Type1,2576.646,27
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,1997,Small,Tier 1,Supermarket Type1,3134.5864,27
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,1987,High,Tier 3,Supermarket Type1,850.8924,37
FDR13,9.895,Regular,0.028696932,Canned,117.0492,1987,High,Tier 3,Supermarket Type1,810.9444,37
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,2007,Small,Tier 2,Supermarket Type1,3121.2704,17
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,2007,Small,Tier 2,Supermarket Type1,4815.0656,17
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,2009,Medium,Tier 3,Supermarket Type2,6258.52,15
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,2002,Small,Tier 2,Supermarket Type1,2117.244,22
DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,1999,Medium,Tier 1,Supermarket Type1,796.9626,25
FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,1997,Small,Tier 1,Supermarket Type1,4910.275,27
FDI26,12.33193820224719,Low Fat,0.061082177,Canned,180.0344,1985,Small,Tier 1,Grocery Store,892.172,39
FDM20,10.0,Low Fat,0.06101449825,Fruits and Vegetables,246.9144,2009,Medium,Tier 3,Supermarket Type2,3185.1872,15
FDV27,7.97,Regular,0.040071131,Meat,87.3514,2002,Small,Tier 2,Supermarket Type1,1062.6168,22
FDF09,13.22266369047619,Low Fat,0.012090074,Fruits and Vegetables,38.2848,1985,Medium,Tier 3,Supermarket Type3,484.7024,39
FDY40,12.870898876404494,Regular,0.15028599,Frozen Foods,51.0692,1985,Small,Tier 1,Grocery Store,147.8076,39
FDY45,12.999704684317718,Low Fat,0.026015519,Snack Foods,255.8356,1985,Medium,Tier 3,Supermarket Type3,2543.356,39
FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,1998,Small,Tier 3,Grocery Store,184.4266,26
FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,2004,Small,Tier 2,Supermarket Type1,4865.6664,20
FDZ03,13.65,Regular,0.078946455,Dairy,186.024,2002,Small,Tier 2,Supermarket Type1,1118.544,22
DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,2002,Small,Tier 2,Supermarket Type1,2302.3364,22
NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,1997,Small,Tier 1,Supermarket Type1,2027.361,27
FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,1997,Small,Tier 1,Supermarket Type1,3435.528,27
FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,1987,High,Tier 3,Supermarket Type1,599.22,37
FDH35,18.25,Low Fat,0.06072282399802762,Starchy Foods,164.7526,2002,Small,Tier 2,Supermarket Type1,4604.6728,22
FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,2007,Small,Tier 2,Supermarket Type1,2285.0256,17
NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,1999,Medium,Tier 1,Supermarket Type1,5580.7356,25
FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,1997,Small,Tier 1,Supermarket Type1,2290.352,27
FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,1999,Medium,Tier 1,Supermarket Type1,1207.0954,25
FDN48,12.296461100569259,Low Fat,0.113720344,Baking Goods,89.9804,1985,Small,Tier 1,Grocery Store,643.1628,39
FDL04,19.0,Low Fat,0.112556507,Frozen Foods,104.9622,2007,Small,Tier 2,Supermarket Type1,1587.933,17
FDV25,5.905,Low Fat,0.06072282399802762,Canned,222.5456,2002,Small,Tier 2,Supermarket Type1,5305.0944,22
FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,1997,Small,Tier 1,Supermarket Type1,1697.79,27
FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,1997,Small,Tier 1,Supermarket Type1,1427.4752,27
FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,2009,Medium,Tier 3,Supermarket Type2,4693.89,15
FDR12,12.296461100569259,Regular,0.031382044,Baking Goods,171.3764,1985,Medium,Tier 3,Supermarket Type3,3091.9752,39
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,2007,Small,Tier 2,Supermarket Type1,2479.4392,17
FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,2004,Small,Tier 2,Supermarket Type1,2716.464,20
FDQ49,12.717272727272727,Regular,0.039057677,Breakfast,155.963,1985,Medium,Tier 3,Supermarket Type3,3285.723,39
FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,1997,Small,Tier 1,Supermarket Type1,661.8052,27
FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,1999,Medium,Tier 1,Supermarket Type1,1523.3504,25
FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,1998,Small,Tier 3,Grocery Store,369.519,26
DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,1999,Medium,Tier 1,Supermarket Type1,690.4346,25
DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,2002,Small,Tier 2,Supermarket Type1,1381.535,22
FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,2004,Small,Tier 2,Supermarket Type1,622.523,20
NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,2004,Small,Tier 2,Supermarket Type1,1274.3412,20
FDU04,12.870898876404494,Low Fat,0.009714595,Frozen Foods,120.0414,1985,Small,Tier 1,Grocery Store,487.3656,39
FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,1999,Medium,Tier 1,Supermarket Type1,1231.73,25
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,2004,Small,Tier 2,Supermarket Type1,3755.112,20
NCP18,13.375206117021275,Low Fat,0.028459761,Household,149.9708,1985,Medium,Tier 3,Supermarket Type3,4363.6532,39
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,1997,Small,Tier 1,Supermarket Type1,1314.2892,27
FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,2002,Small,Tier 2,Supermarket Type1,1805.6496,22
FDD10,12.999704684317718,Regular,0.045797829,Snack Foods,178.5344,1985,Medium,Tier 3,Supermarket Type3,2854.9504,39
FDW57,8.31,Regular,0.115857223,Snack Foods,179.1028,1999,Medium,Tier 1,Supermarket Type1,3896.2616,25
DRB48,16.75,Regular,0.024832806,Soft Drinks,38.7822,1987,High,Tier 3,Supermarket Type1,667.7974,37
FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,2009,Medium,Tier 3,Supermarket Type2,3185.853,15
FDH14,17.1,Regular,0.0467696,Canned,141.1838,1987,High,Tier 3,Supermarket Type1,2247.7408,37
FDA47,10.5,Regular,0.116576702,Baking Goods,163.121,1987,High,Tier 3,Supermarket Type1,1794.331,37
FDG12,6.635,Regular,0.06072282399802762,Baking Goods,121.3098,2002,Small,Tier 2,Supermarket Type1,2530.7058,22
DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,1987,High,Tier 3,Supermarket Type1,812.276,37
FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,1997,Small,Tier 1,Supermarket Type1,699.09,27
FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,2007,Small,Tier 2,Supermarket Type1,2732.4432,17
FDW39,12.791437125748503,Regular,0.064625342,Meat,176.937,1985,Small,Tier 1,Grocery Store,176.437,39
FDX34,12.999704684317718,Low Fat,0.071636937,Snack Foods,121.7098,1985,Medium,Tier 3,Supermarket Type3,4097.3332,39
FDV11,9.1,Regular,0.06072282399802762,Breads,173.2054,2002,Small,Tier 2,Supermarket Type1,3151.8972,22
FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,1999,Medium,Tier 1,Supermarket Type1,5942.265,25
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,2007,Small,Tier 2,Supermarket Type1,4843.695,17
FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,2004,Small,Tier 2,Supermarket Type1,2542.0244,20
DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,2007,Small,Tier 2,Supermarket Type1,2552.6772,17
FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,2009,Medium,Tier 3,Supermarket Type2,1141.847,15
NCF19,13.0,Low Fat,0.035307322,Household,47.5034,2007,Small,Tier 2,Supermarket Type1,680.4476,17
DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,2002,Small,Tier 2,Supermarket Type1,2085.9514,22
FDB14,20.25,Regular,0.171938781,Canned,92.512,1998,Small,Tier 3,Grocery Store,186.424,26
FDJ38,8.6,Regular,0.040197932,Canned,190.153,2004,Small,Tier 2,Supermarket Type1,3036.048,20
FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,2007,Small,Tier 2,Supermarket Type1,866.8716,17
FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,2004,Small,Tier 2,Supermarket Type1,868.869,20
DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,1997,Small,Tier 1,Supermarket Type1,1137.1864,27
FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,2007,Small,Tier 2,Supermarket Type1,928.1252,17
DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,1987,High,Tier 3,Supermarket Type1,762.341,37
NCP30,20.5,Low Fat,0.032835147,Household,40.2822,2002,Small,Tier 2,Supermarket Type1,707.0796,22
FDY25,12.33193820224719,Low Fat,0.033809913,Canned,180.5976,1985,Medium,Tier 3,Supermarket Type3,7968.2944,39
NCH54,13.5,Low Fat,0.07266912,Household,160.292,1997,Small,Tier 1,Supermarket Type1,1438.128,27
NCR53,13.175058548009366,Low Fat,0.144338493,Health and Hygiene,224.4404,1985,Medium,Tier 3,Supermarket Type3,6976.2524,39
FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,1998,Small,Tier 3,Grocery Store,101.2016,26
FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,2009,Medium,Tier 3,Supermarket Type2,952.094,15
NCO26,7.235,Low Fat,0.076855628,Household,116.0492,1997,Small,Tier 1,Supermarket Type1,1969.4364,27
FDH35,13.758412698412698,Low Fat,0.059956876,Starchy Foods,165.4526,1985,Medium,Tier 3,Supermarket Type3,5262.4832,39
FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,2002,Small,Tier 2,Supermarket Type1,1314.2892,22
FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,2007,Small,Tier 2,Supermarket Type1,535.3032,17
NCN07,18.5,Low Fat,0.056816465,Others,132.1284,1998,Small,Tier 3,Grocery Store,263.6568,26
NCC31,8.02,Low Fat,0.019866705,Household,154.5972,2004,Small,Tier 2,Supermarket Type1,1402.1748,20
NCX54,9.195,Low Fat,0.048331717,Household,105.1622,2007,Small,Tier 2,Supermarket Type1,1693.7952,17
NCO55,12.8,Low Fat,0.091221855,Others,105.5938,2002,Small,Tier 2,Supermarket Type1,2143.876,22
NCC30,16.6,Low Fat,0.027622076,Household,177.6344,1999,Medium,Tier 1,Supermarket Type1,2676.516,25
FDI16,14.0,Regular,0.06072282399802762,Frozen Foods,53.064,2004,Small,Tier 2,Supermarket Type1,905.488,20
FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,1999,Medium,Tier 1,Supermarket Type1,7370.406,25
FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,2004,Small,Tier 2,Supermarket Type1,6301.1312,20
NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,2004,Small,Tier 2,Supermarket Type1,1597.92,20
FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,2004,Small,Tier 2,Supermarket Type1,529.311,20
NCO26,7.235,Low Fat,0.076841095,Household,117.5492,2004,Small,Tier 2,Supermarket Type1,1969.4364,20
DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,2007,Small,Tier 2,Supermarket Type1,1034.6532,17
FDR28,13.85,Regular,0.026001976,Frozen Foods,161.521,2009,Medium,Tier 3,Supermarket Type2,1794.331,15
FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,2009,Medium,Tier 3,Supermarket Type2,2768.3964,15
DRK12,11.861774193548387,Low Fat,0.041683481,Soft Drinks,31.29,1985,Medium,Tier 3,Supermarket Type3,898.83,39
FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,1997,Small,Tier 1,Supermarket Type1,3169.208,27
NCI18,18.35,Low Fat,0.014081156,Household,223.5746,2009,Medium,Tier 3,Supermarket Type2,3589.9936,15
FDB36,5.465,Regular,0.06101449825,Baking Goods,132.5626,2009,Medium,Tier 3,Supermarket Type2,262.3252,15
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,2007,Small,Tier 2,Supermarket Type1,1910.1802,17
DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,2007,Small,Tier 2,Supermarket Type1,1701.7848,17
FDQ28,14.0,Regular,0.060376776,Frozen Foods,154.5656,1987,High,Tier 3,Supermarket Type1,2471.4496,37
FDM22,14.0,Regular,0.04192285,Snack Foods,54.764,1987,High,Tier 3,Supermarket Type1,1331.6,37
FDR07,13.22266369047619,Low Fat,0.077367431,Fruits and Vegetables,97.0094,1985,Medium,Tier 3,Supermarket Type3,1808.9786,39
FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,2009,Medium,Tier 3,Supermarket Type2,3315.684,15
DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,1997,Small,Tier 1,Supermarket Type1,2618.5914,27
FDW51,6.155,Regular,0.094659871,Meat,214.556,1997,Small,Tier 1,Supermarket Type1,2769.728,27
DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,2007,Small,Tier 2,Supermarket Type1,5375.0034,17
FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,2007,Small,Tier 2,Supermarket Type1,2838.9712,17
FDL50,12.15,Regular,0.042485444,Canned,125.0046,2009,Medium,Tier 3,Supermarket Type2,1743.0644,15
NCB30,13.375206117021275,Low Fat,0.025578526,Household,198.8084,1985,Medium,Tier 3,Supermarket Type3,5555.4352,39
FDW11,12.6,Low Fat,0.0489808,Breads,61.9194,2009,Medium,Tier 3,Supermarket Type2,619.194,15
NCM43,14.5,Low Fat,0.019471688,Others,164.821,2004,Small,Tier 2,Supermarket Type1,2120.573,20
FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,2007,Small,Tier 2,Supermarket Type1,3823.0236,17
FDM15,11.8,Regular,0.057373797,Meat,151.4366,1987,High,Tier 3,Supermarket Type1,1360.2294,37
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,1987,High,Tier 3,Supermarket Type1,3969.4996,37
FDR47,17.85,Low Fat,0.08340055660489883,Breads,196.5794,1998,Small,Tier 3,Grocery Store,585.2382,26
FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,2002,Small,Tier 2,Supermarket Type1,1010.6844,22
NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,1998,Small,Tier 3,Grocery Store,161.1236,26
DRY23,11.861774193548387,Regular,0.191013663,Soft Drinks,42.1112,1985,Small,Tier 1,Grocery Store,42.6112,39
FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,2002,Small,Tier 2,Supermarket Type1,3010.7476,22
FDQ28,12.870898876404494,Regular,0.060134441,Frozen Foods,153.0656,1985,Medium,Tier 3,Supermarket Type3,6024.1584,39
FDV39,11.3,Low Fat,0.007294652,Meat,198.1426,2002,Small,Tier 2,Supermarket Type1,988.713,22
NCO17,13.175058548009366,Low Fat,0.128478462,Health and Hygiene,117.944,1985,Small,Tier 1,Grocery Store,239.688,39
FDU50,5.75,Regular,0.075107656,Dairy,112.8176,1987,High,Tier 3,Supermarket Type1,1374.2112,37
FDT12,12.296461100569259,Regular,0.049381406,Baking Goods,226.8062,1985,Medium,Tier 3,Supermarket Type3,4739.8302,39
FDK58,11.35,Regular,0.045165796,Snack Foods,100.0016,2009,Medium,Tier 3,Supermarket Type2,1012.016,15
FDO08,13.22266369047619,Regular,0.09415375,Fruits and Vegetables,165.7526,1985,Small,Tier 1,Grocery Store,657.8104,39
NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,1999,Medium,Tier 1,Supermarket Type1,778.986,25
FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,2002,Small,Tier 2,Supermarket Type1,2336.958,22
NCB19,6.525,Low Fat,0.090436094,Household,85.0882,1999,Medium,Tier 1,Supermarket Type1,2233.0932,25
FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,1999,Medium,Tier 1,Supermarket Type1,1661.8368,25
FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,1999,Medium,Tier 1,Supermarket Type1,4745.8224,25
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,2002,Small,Tier 2,Supermarket Type1,3124.5994,22
FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,2009,Medium,Tier 3,Supermarket Type2,467.3916,15
NCX06,13.375206117021275,Low Fat,0.01561108,Household,182.5976,1985,Medium,Tier 3,Supermarket Type3,5070.7328,39
FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,1997,Small,Tier 1,Supermarket Type1,540.6296,27
FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718,1997,Small,Tier 1,Supermarket Type1,992.7078,27
NCN55,14.6,Low Fat,0.059582996,Others,238.8538,1999,Medium,Tier 1,Supermarket Type1,6008.845,25
FDE40,13.442754010695188,Regular,0.098663652,Dairy,62.9194,1985,Medium,Tier 3,Supermarket Type3,2105.2596,39
FDX49,12.33193820224719,Regular,0.101338651,Canned,232.63,1985,Medium,Tier 3,Supermarket Type3,5359.69,39
NCM53,18.75,Low Fat,0.052146456,Health and Hygiene,104.628,2002,Small,Tier 2,Supermarket Type1,745.696,22
FDE36,5.26,Regular,0.041764487,Baking Goods,161.8868,2004,Small,Tier 2,Supermarket Type1,3275.736,20
FDN57,18.25,Low Fat,0.054344186,Snack Foods,140.2154,2002,Small,Tier 2,Supermarket Type1,1701.7848,22
FDI24,12.296461100569259,Low Fat,0.078362484,Baking Goods,177.937,1985,Medium,Tier 3,Supermarket Type3,6704.606,39
FDI19,15.1,Low Fat,0.052339069,Meat,242.7512,1997,Small,Tier 1,Supermarket Type1,4119.9704,27
FDF24,15.5,Regular,0.042464962,Baking Goods,81.5934,1998,Small,Tier 3,Grocery Store,327.5736,26
FDG52,13.65,Low Fat,0.065732883,Frozen Foods,45.7402,1999,Medium,Tier 1,Supermarket Type1,780.9834,25
DRF36,16.1,Low Fat,0.023625114,Soft Drinks,189.3846,2002,Small,Tier 2,Supermarket Type1,3630.6074,22
FDS45,12.999704684317718,Regular,0.051643608,Snack Foods,107.3622,1985,Small,Tier 1,Grocery Store,317.5866,39
FDX40,12.85,Low Fat,0.165694219,Frozen Foods,39.7164,1998,Small,Tier 3,Grocery Store,231.6984,26
DRK12,9.5,Low Fat,0.041878397,Soft Drinks,32.99,2004,Small,Tier 2,Supermarket Type1,133.16,20
DRC27,13.8,Low Fat,0.058091482,Dairy,245.1802,2004,Small,Tier 2,Supermarket Type1,5650.6446,20
FDL58,5.78,Regular,0.06072282399802762,Snack Foods,263.7568,2007,Small,Tier 2,Supermarket Type1,2636.568,17
NCD30,19.7,Low Fat,0.026903714,Household,96.0726,2002,Small,Tier 2,Supermarket Type1,1272.3438,22
NCZ54,14.65,Low Fat,0.08340055660489883,Household,161.5552,1998,Small,Tier 3,Grocery Store,324.9104,26
FDE10,6.67,Regular,0.150554711,Snack Foods,130.0626,1998,Small,Tier 3,Grocery Store,131.1626,26
FDR44,6.11,Regular,0.08340055660489883,Fruits and Vegetables,131.2968,1998,Small,Tier 3,Grocery Store,260.9936,26
FDP28,13.65,Regular,0.134975628,Frozen Foods,260.0936,1998,Small,Tier 3,Grocery Store,260.9936,26
FDX15,17.2,Low Fat,0.15616879,Meat,160.6578,1987,High,Tier 3,Supermarket Type1,3690.5294,37
FDA39,6.32,Low Fat,0.06072282399802762,Meat,40.2822,2004,Small,Tier 2,Supermarket Type1,1139.1838,20
FDY24,4.88,Regular,0.133700752,Baking Goods,52.9298,1999,Medium,Tier 1,Supermarket Type1,1995.4026,25
FDC60,5.425,Regular,0.115119905,Baking Goods,88.3514,2007,Small,Tier 2,Supermarket Type1,1416.8224,17
FDH28,15.85,Regular,0.110030997,Frozen Foods,37.2506,1997,Small,Tier 1,Supermarket Type1,265.6542,27
FDT25,7.5,Low Fat,0.051038045,Canned,121.7072,2007,Small,Tier 2,Supermarket Type1,3552.7088,17
DRJ13,12.65,Low Fat,0.062837968,Soft Drinks,161.5578,1987,High,Tier 3,Supermarket Type1,2406.867,37
NCO07,13.818382352941176,Low Fat,0.017116983,Others,211.956,1985,Small,Tier 1,Grocery Store,213.056,39
FDW20,20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,1987,High,Tier 3,Supermarket Type1,2956.152,37
DRF27,13.442754010695188,Low Fat,0.049754975,Dairy,152.134,1985,Small,Tier 1,Grocery Store,153.134,39
FDS49,9.0,Low Fat,0.06072282399802762,Canned,79.7644,2004,Small,Tier 2,Supermarket Type1,1649.8524,20
